feature,importance_mean,importance_std
PctExtHyperlinks,0.03984515530459511,0.004414365511843837
PctNullSelfRedirectHyperlinks,0.022215734559422985,0.0036642870259154213
InsecureForms,0.017151922349277104,0.0025311057323191867
PctExtResourceUrls,0.014164780226854006,0.00207160234534944
NumDash,0.011621562483383457,0.0026739371497645523
FrequentDomainNameMismatch,0.010090723832595478,0.0016787085068005318
PctExtNullSelfRedirectHyperlinksRT,0.009955366086624489,0.002495644065229863
SubmitInfoToEmail,0.009100682429262546,0.002092712641727251
PathLevel,0.004407031208569489,0.0015198504755617453
NumDots,0.0035585296230886076,0.001658957860093302
NumSensitiveWords,0.002925422812897399,0.0007989775175494234
ExtFavicon,0.0028361053429324713,0.0014818980878798622
IframeOrFrame,0.002379807271807499,0.0010376394584184448
QueryLength,0.0023733962952889043,0.0006438998617023273
NumQueryComponents,0.001956861931678033,0.0009826197545301763
NumUnderscore,0.0018754858391790362,0.0007633998041302039
NumNumericChars,0.0018465097265338737,0.0010267070462060858
SubdomainLevel,0.0013746776239478564,0.0013625232579624672
UrlLength,0.0009678075046867851,0.0006196499031871379
NumDashInHostname,0.0008727476112091014,0.0008757277013291
NumPercent,0.0006688747050908383,0.00014683199284026756
PctExtResourceUrlsRT,0.0004302180426409508,0.0003777057866035874
ExtMetaScriptLinkRT,0.00015394378646212402,0.0009450418833012407
NumAmpersand,0.0001366343356044908,0.00026867541758134067
DomainInPaths,0.00010882656357930621,0.000607661336114647
ExtFormAction,9.151175014298074e-05,0.0003711675358586909
AbnormalExtFormActionR,5.9313877092553866e-05,0.0004175762493659096
SubdomainLevelRT,3.368683076353518e-05,0.00014683749102640696
DomainInSubdomains,0.0,0.0
AtSymbol,0.0,0.0
DoubleSlashInPath,0.0,0.0
NumHash,0.0,0.0
EmbeddedBrandName,0.0,0.0
TildeSymbol,0.0,0.0
MissingTitle,0.0,0.0
PopUpWindow,0.0,0.0
RightClickDisabled,0.0,0.0
IpAddress,0.0,0.0
NoHttps,0.0,0.0
FakeLinkInStatusBar,0.0,0.0
PathLength,-0.0003023774586704164,0.0009557253419037172
HostnameLength,-0.0003173370330812608,0.0013084455377694484
UrlLengthRT,-0.0003816126477334425,0.00031158542211313255
AbnormalFormAction,-0.0006710148302110308,0.00020702898765280478
RelativeFormAction,-0.0011714071361271616,0.0005064638204746034
RandomString,-0.001398976915936201,0.000839623453392606
