seed,feature,importance
0,PctExtHyperlinks,2.3366861
0,PctExtResourceUrls,0.9017648
0,PctNullSelfRedirectHyperlinks,1.0431604
0,PctExtNullSelfRedirectHyperlinksRT,1.3052664
0,NumNumericChars,0.78133667
0,FrequentDomainNameMismatch,0.7473044
0,ExtMetaScriptLinkRT,0.38983878
0,NumDash,0.83547485
0,SubmitInfoToEmail,0.47033232
0,NumDots,0.8939143
0,PathLevel,0.90378696
0,PathLength,0.5423237
0,InsecureForms,0.8825345
0,QueryLength,0.29409364
0,UrlLength,0.53120226
0,NumSensitiveWords,0.2996895
0,NumQueryComponents,0.2921194
0,PctExtResourceUrlsRT,0.1248603
0,NumAmpersand,0.05571752
0,IframeOrFrame,0.27855372
0,AbnormalFormAction,0.035431642
0,AbnormalExtFormActionR,0.06469421
0,HostnameLength,0.27455643
0,UrlLengthRT,0.0078101023
0,MissingTitle,0.03171752
0,NumUnderscore,0.21931209
0,AtSymbol,0.0044111437
0,DomainInPaths,0.13195257
0,SubdomainLevel,0.6516632
0,RelativeFormAction,0.1439381
0,NumDashInHostname,0.27236295
0,RightClickDisabled,0.0037595762
0,NumPercent,0.04850553
0,IpAddress,0.02864662
0,PopUpWindow,0.003753032
0,EmbeddedBrandName,0.022309694
0,NumHash,2.1362384e-05
0,DomainInSubdomains,0.007150055
0,SubdomainLevelRT,0.026714645
0,TildeSymbol,0.0021133479
0,FakeLinkInStatusBar,0.0028505456
0,DoubleSlashInPath,0.011102223
0,ExtFormAction,0.039208144
0,ExtFavicon,0.496572
0,RandomString,0.08483808
0,NoHttps,0.120605916
1,PctExtHyperlinks,2.3298776
1,PctExtResourceUrls,0.89754665
1,PctNullSelfRedirectHyperlinks,1.0498366
1,PctExtNullSelfRedirectHyperlinksRT,1.2504598
1,NumNumericChars,0.8217346
1,FrequentDomainNameMismatch,0.77472794
1,ExtMetaScriptLinkRT,0.38157418
1,NumDash,0.8480178
1,SubmitInfoToEmail,0.45608455
1,NumDots,0.89600587
1,PathLevel,0.8988627
1,PathLength,0.52167076
1,InsecureForms,0.88687897
1,QueryLength,0.28244016
1,UrlLength,0.5600543
1,NumSensitiveWords,0.3165777
