feature,mean_abs_SHAP
PctExtHyperlinks,2.1031187
PctExtNullSelfRedirectHyperlinksRT,1.4536242
PctNullSelfRedirectHyperlinks,1.2266371
PathLevel,1.1504898
PctExtResourceUrls,1.1143214
FrequentDomainNameMismatch,0.9647201
InsecureForms,0.9362502
NumNumericChars,0.90320015
NumDash,0.88397205
NumDots,0.7131285
ExtMetaScriptLinkRT,0.49054337
SubdomainLevel,0.48039603
ExtFavicon,0.46616104
SubmitInfoToEmail,0.44708225
NumSensitiveWords,0.38575405
QueryLength,0.36579394
UrlLength,0.36323908
NumDashInHostname,0.34963533
PathLength,0.34201732
NumUnderscore,0.2982902
HostnameLength,0.27662352
IframeOrFrame,0.20802407
NumAmpersand,0.12893324
NoHttps,0.09631914
RandomString,0.09340369
RelativeFormAction,0.08589943
NumPercent,0.080194764
DomainInPaths,0.07017704
MissingTitle,0.057395834
ExtFormAction,0.056671888
AbnormalExtFormActionR,0.052365948
SubdomainLevelRT,0.047153227
ImagesOnlyInForm,0.041498624
PctExtResourceUrlsRT,0.038458016
EmbeddedBrandName,0.031105805
AbnormalFormAction,0.021287689
IpAddress,0.018426448
DomainInSubdomains,0.01633267
UrlLengthRT,0.01573402
TildeSymbol,0.0045437776
AtSymbol,0.003285054
PopUpWindow,0.0024858885
RightClickDisabled,0.002385116
FakeLinkInStatusBar,0.0007686074
NumHash,0.00010367966
DoubleSlashInPath,8.1574735e-06
