seed,feature,importance
0,NumDots,0.72276646
0,SubdomainLevel,0.42643836
0,PathLevel,1.0081438
0,UrlLength,0.32895908
0,NumDash,0.860545
0,NumDashInHostname,0.31253818
0,AtSymbol,0.004259171
0,TildeSymbol,0.003426402
0,NumUnderscore,0.23758592
0,NumPercent,0.06976166
0,NumAmpersand,0.08653479
0,NumHash,3.4152203e-05
0,NumNumericChars,0.88198256
0,NoHttps,0.11269025
0,RandomString,0.07193028
0,IpAddress,0.019324059
0,DomainInSubdomains,0.025853198
0,DomainInPaths,0.04271016
0,HostnameLength,0.2635803
0,PathLength,0.3102981
0,QueryLength,0.38114372
0,DoubleSlashInPath,4.3955355e-05
0,NumSensitiveWords,0.36043507
0,EmbeddedBrandName,0.02422125
0,PctExtHyperlinks,2.093315
0,PctExtResourceUrls,1.081761
0,ExtFavicon,0.39959124
0,InsecureForms,1.0031859
0,RelativeFormAction,0.15028171
0,ExtFormAction,0.048352942
0,AbnormalFormAction,0.036042407
0,PctNullSelfRedirectHyperlinks,1.2235911
0,FrequentDomainNameMismatch,0.96069944
0,FakeLinkInStatusBar,0.0024062148
0,RightClickDisabled,0.002123233
0,PopUpWindow,0.0010618333
0,SubmitInfoToEmail,0.35835323
0,IframeOrFrame,0.23843305
0,MissingTitle,0.098096006
0,ImagesOnlyInForm,0.039366208
0,SubdomainLevelRT,0.034195166
0,UrlLengthRT,0.00683272
0,PctExtResourceUrlsRT,0.12191637
0,AbnormalExtFormActionR,0.090254046
0,ExtMetaScriptLinkRT,0.3959117
0,PctExtNullSelfRedirectHyperlinksRT,1.394405
1,NumDots,0.72276646
1,SubdomainLevel,0.42643836
1,PathLevel,1.0081438
1,UrlLength,0.32895908
1,NumDash,0.860545
1,NumDashInHostname,0.31253818
1,AtSymbol,0.004259171
1,TildeSymbol,0.003426402
1,NumUnderscore,0.23758592
1,NumPercent,0.06976166
1,NumAmpersand,0.08653479
1,NumHash,3.4152203e-05
1,NumNumericChars,0.88198256
1,NoHttps,0.11269025
1,RandomString,0.07193028
1,IpAddress,0.019324059
1,DomainInSubdomains,0.025853198
1,DomainInPaths,0.04271016
1,HostnameLength,0.2635803
1,PathLength,0.3102981
1,QueryLength,0.38114372
1,DoubleSlashInPath,4.3955355e-05
1,NumSensitiveWords,0.36043507
