sample_id,group_id,split
0,0,test
1,1,validation
2,2,validation
3,3,validation
4,4,validation
5,5,validation
6,6,validation
7,7,test
8,8,test
9,9,validation
10,10,validation
11,11,validation
12,12,test
13,13,test
14,14,test
15,15,validation
16,16,validation
17,17,validation
18,18,test
19,19,validation
20,20,test
21,21,validation
22,22,validation
23,23,test
24,24,validation
25,25,test
26,26,validation
27,27,validation
28,28,validation
29,29,test
30,30,test
31,31,validation
32,32,test
33,33,validation
34,34,validation
35,35,validation
36,36,validation
37,37,test
38,38,validation
39,39,test
40,40,validation
41,41,validation
42,42,validation
43,43,test
44,44,test
45,45,test
46,46,validation
47,47,validation
48,48,test
49,49,test
50,50,validation
51,51,test
52,52,test
53,53,validation
54,54,validation
55,55,validation
56,56,test
57,57,test
58,58,validation
59,59,test
60,60,validation
61,61,test
62,62,validation
63,63,test
64,64,validation
65,65,test
66,66,validation
67,67,test
68,68,validation
69,69,test
70,70,test
71,71,test
72,72,validation
73,73,test
74,74,validation
75,75,validation
76,76,test
77,77,validation
78,78,test
79,79,validation
80,80,test
81,81,validation
82,82,validation
83,83,test
84,84,test
85,85,test
86,84,validation
87,86,test
88,87,test
89,88,validation
90,89,validation
91,90,test
92,91,validation
93,92,test
94,93,validation
95,92,validation
96,94,test
97,95,validation
98,96,validation
99,94,test
100,94,test
101,97,validation
102,98,test
103,99,validation
104,100,test
105,101,test
106,102,validation
107,103,validation
108,104,test
109,105,test
110,106,validation
111,16,test
112,107,validation
113,108,validation
114,109,validation
115,110,test
116,111,validation
117,112,validation
118,113,test
119,114,validation
120,115,test
121,116,test
122,117,validation
123,118,test
124,84,test
125,119,validation
126,120,validation
127,121,validation
128,122,test
129,123,validation
130,124,validation
131,125,validation
132,126,test
133,127,validation
134,128,test
135,129,test
136,130,validation
137,131,validation
138,132,validation
139,133,test
140,134,validation
141,135,test
142,136,test
143,137,validation
144,138,test
145,139,validation
146,140,validation
147,141,validation
148,142,validation
149,143,test
150,144,validation
151,145,test
152,146,test
153,147,validation
154,148,validation
155,149,validation
156,150,test
157,151,test
158,152,test
159,153,test
160,154,validation
161,155,validation
162,156,test
163,157,test
164,158,validation
165,159,validation
166,160,test
167,161,validation
168,162,test
169,163,test
170,164,test
171,165,validation
172,166,validation
173,167,test
174,168,test
175,169,test
176,170,validation
177,171,test
178,172,test
179,173,test
180,174,validation
181,175,validation
182,176,validation
183,177,test
184,99,test
185,178,test
186,179,validation
187,180,validation
188,181,test
189,182,validation
190,183,validation
191,184,test
192,185,test
193,186,validation
194,185,test
195,187,test
196,188,test
197,189,validation
198,190,test
199,191,test
200,192,validation
201,193,validation
202,194,validation
203,195,test
204,196,validation
205,197,test
206,198,validation
207,199,test
208,200,test
209,201,test
210,202,test
211,203,test
212,204,test
213,205,test
214,206,validation
215,207,validation
216,208,validation
217,209,validation
218,210,test
219,210,test
220,210,test
221,210,test
222,210,test
223,210,validation
224,210,validation
225,210,validation
226,210,test
227,210,test
228,210,validation
229,210,test
230,210,test
231,210,test
232,210,validation
233,210,test
234,210,validation
235,211,validation
236,212,validation
237,213,test
238,214,test
239,215,test
240,216,test
241,217,validation
242,218,validation
243,219,validation
244,220,validation
245,221,validation
246,222,test
247,223,test
248,224,validation
249,225,validation
250,226,validation
251,227,test
252,228,test
253,229,validation
254,230,test
255,231,validation
256,232,test
257,233,test
258,234,validation
259,235,test
260,236,validation
261,237,test
262,238,validation
263,239,test
264,240,validation
265,241,validation
266,242,test
267,243,validation
268,244,validation
269,245,test
270,246,test
271,247,validation
272,248,test
273,204,test
274,249,validation
275,250,test
276,251,test
277,252,test
278,253,test
279,254,test
280,255,validation
281,256,test
282,257,test
283,258,test
284,259,validation
285,260,validation
286,261,test
287,262,test
288,263,test
289,264,test
290,265,test
291,266,test
292,267,validation
293,268,validation
294,269,test
295,270,validation
296,271,test
297,272,test
298,273,test
299,274,test
300,275,test
301,276,validation
302,277,validation
303,278,test
304,279,test
305,280,test
306,281,test
307,282,test
308,283,test
309,284,test
310,285,validation
311,286,test
312,287,validation
313,288,test
314,289,test
315,290,test
316,291,test
317,292,validation
318,293,test
319,294,validation
320,295,validation
321,296,test
322,297,test
323,298,validation
324,263,test
325,263,test
326,299,validation
327,300,validation
328,301,test
329,302,validation
330,303,validation
331,304,test
332,304,test
333,305,validation
334,306,validation
335,307,validation
336,308,validation
337,309,validation
338,310,validation
339,311,validation
340,312,test
341,313,validation
342,314,test
343,315,test
344,316,test
345,317,validation
346,318,validation
347,319,test
348,320,test
349,321,test
350,322,test
351,323,test
352,324,test
353,325,test
354,326,test
355,327,validation
356,328,validation
357,321,validation
358,329,test
359,330,validation
360,331,test
361,332,test
362,333,validation
363,296,validation
364,334,validation
